Date	Total Trips
2021-11-16	8694
2021-11-17	8936
2021-11-18	11244
2021-11-19	9539
2021-11-20	8166
2021-11-21	7755
2021-11-22	6572
2021-11-23	6742
2021-11-24	5438
2021-11-25	3818
2021-11-26	2832
2021-11-27	3476
2021-11-28	3883
2021-11-29	5662
2021-11-30	6522
2021-12-01	7281
2021-12-02	7541
2021-12-03	7329
2021-12-04	6964
2021-12-05	6753
2021-12-06	6492
2021-12-07	5380
2021-12-08	6318
2021-12-09	5454
2021-12-10	6539
2021-12-11	4691
2021-12-12	6064
2021-12-13	6086
2021-12-14	6710
2021-12-15	6207
2021-12-16	6168
2021-12-17	7386
2021-12-18	3551
2021-12-19	2400
2021-12-20	3104
2021-12-21	3807
2021-12-22	2834
2021-12-23	2576
2021-12-24	1409
2021-12-25	466
2021-12-26	1391
2021-12-27	2185
2021-12-28	2413
2021-12-29	2864
2021-12-30	2191
2021-12-31	2746
